id_voo,numero_voo,id_aeroporto_origem,id_aeroporto_destino,data_partida,data_chegada,status
139,AV5563,12126,18685,2024-07-20 04:13:21,2024-07-20 05:44:21,Atrasado
140,AV7273,6674,8418,2024-11-28 01:44:21,2024-11-28 08:32:21,Programado
141,AV9529,9382,2950,2025-01-15 15:55:11,2025-01-16 05:27:11,Concluído
142,AV6997,10935,10204,2025-01-01 05:05:55,2025-01-01 16:55:55,Programado
143,AV6960,169,8957,2023-04-19 06:24:22,2023-04-19 09:21:22,Cancelado
144,AV9733,2529,19726,2023-07-13 02:26:33,2023-07-13 15:04:33,Atrasado
145,AV2248,8323,5377,2023-04-06 10:00:23,2023-04-06 20:34:23,Programado
146,AV1017,10205,12863,2024-05-04 19:25:23,2024-05-05 04:16:23,Concluído
147,AV7518,17386,1289,2025-08-20 12:32:49,2025-08-20 18:01:49,Concluído
148,AV1064,7699,361,2025-05-21 05:06:21,2025-05-21 14:26:21,Atrasado
149,AV6328,8106,7969,2025-06-21 22:07:05,2025-06-22 05:43:05,Atrasado
150,AV4446,4176,7034,2024-01-14 23:58:54,2024-01-15 04:27:54,Atrasado
151,AV2997,17802,585,2023-06-28 04:46:39,2023-06-28 10:05:39,Programado
152,AV8064,10263,4626,2025-11-12 20:58:27,2025-11-13 10:24:27,Programado
153,AV4703,1311,3001,2023-10-05 21:03:05,2023-10-05 23:37:05,Programado
154,AV6711,19256,4633,2024-04-23 09:26:03,2024-04-23 22:37:03,Cancelado
155,AV5905,10666,2839,2022-12-03 14:01:06,2022-12-04 02:24:06,Cancelado
156,AV2377,13094,7095,2023-05-20 18:48:22,2023-05-20 20:36:22,Cancelado
157,AV3758,12070,7567,2023-09-27 08:00:44,2023-09-27 10:44:44,Cancelado
158,AV7531,18113,8338,2024-08-11 13:06:31,2024-08-11 17:46:31,Cancelado
159,AV5651,340,8187,2023-03-06 19:55:36,2023-03-07 04:59:36,Cancelado
160,AV1034,12699,12008,2023-10-11 18:38:07,2023-10-12 04:40:07,Cancelado
161,AV3667,7087,16269,2023-04-08 11:10:57,2023-04-08 19:47:57,Programado
162,AV8208,6727,11051,2024-03-23 16:29:19,2024-03-23 20:57:19,Concluído
163,AV8236,18175,17097,2023-09-23 17:35:12,2023-09-24 07:31:12,Atrasado
164,AV7329,6088,8415,2023-07-21 12:46:20,2023-07-21 16:40:20,Cancelado
165,AV4724,8827,1984,2024-12-23 03:21:04,2024-12-23 07:34:04,Cancelado
166,AV7882,6503,16925,2024-10-26 14:49:37,2024-10-27 04:58:37,Atrasado
167,AV9222,11444,4242,2024-12-19 11:42:15,2024-12-19 17:09:15,Atrasado
168,AV9208,16982,16514,2024-09-12 13:33:57,2024-09-12 20:03:57,Programado
169,AV7763,10080,16529,2024-07-17 02:01:03,2024-07-17 09:07:03,Cancelado
170,AV4833,2854,3481,2024-05-01 21:40:42,2024-05-02 03:51:42,Atrasado
171,AV2692,584,12606,2023-10-16 12:53:12,2023-10-16 21:32:12,Programado
172,AV3848,4181,18555,2023-10-01 04:40:46,2023-10-01 05:45:46,Concluído
173,AV2490,10745,18506,2024-03-09 13:49:43,2024-03-09 21:15:43,Programado
174,AV4743,12404,18792,2024-06-15 06:33:45,2024-06-15 18:49:45,Concluído
175,AV8739,6121,14410,2023-01-19 20:44:33,2023-01-20 11:07:33,Programado
176,AV9981,3475,16984,2024-02-04 15:27:43,2024-02-05 03:24:43,Cancelado
177,AV5926,7541,6841,2024-10-29 03:26:59,2024-10-29 07:46:59,Atrasado
178,AV3110,3416,12654,2024-11-04 13:39:51,2024-11-04 21:19:51,Concluído
179,AV8833,13211,8593,2025-07-31 04:15:02,2025-07-31 08:28:02,Programado
180,AV9308,15945,16024,2024-07-19 13:22:36,2024-07-20 04:17:36,Programado
181,AV8462,17113,7097,2024-02-15 19:51:30,2024-02-16 01:43:30,Programado
182,AV4978,15034,17237,2023-07-12 11:13:17,2023-07-12 14:33:17,Concluído
183,AV3160,5761,6575,2023-09-01 10:42:24,2023-09-01 19:47:24,Atrasado
184,AV4711,8780,9701,2023-03-06 18:35:42,2023-03-07 02:07:42,Atrasado
185,AV9383,19648,11775,2024-04-08 20:16:57,2024-04-09 08:47:57,Atrasado
186,AV2362,18831,18757,2025-09-18 17:14:27,2025-09-19 05:36:27,Atrasado
187,AV2304,460,3457,2023-03-28 05:29:13,2023-03-28 12:13:13,Cancelado
188,AV3797,8908,6326,2024-04-15 13:08:36,2024-04-15 19:35:36,Atrasado
189,AV6796,4557,10059,2025-06-24 12:51:58,2025-06-24 18:29:58,Concluído
190,AV1949,8701,17953,2024-11-25 12:36:41,2024-11-25 14:23:41,Atrasado
191,AV9757,12252,6227,2023-07-20 07:25:04,2023-07-20 13:49:04,Concluído
192,AV4032,3824,5696,2024-12-25 06:27:19,2024-12-25 15:09:19,Atrasado
193,AV3470,546,19340,2023-01-15 01:14:58,2023-01-15 02:31:58,Atrasado
194,AV6415,14538,16223,2024-12-09 22:46:57,2024-12-10 08:03:57,Programado
195,AV2554,13423,6515,2025-11-19 00:37:54,2025-11-19 01:35:54,Cancelado
196,AV5200,676,12358,2023-06-26 12:36:23,2023-06-26 15:41:23,Cancelado
197,AV7152,11769,13452,2023-03-29 00:27:23,2023-03-29 01:54:23,Cancelado
198,AV8937,5412,9839,2025-03-11 12:57:17,2025-03-12 00:28:17,Concluído
199,AV5813,4135,18554,2023-02-04 19:46:29,2023-02-05 06:50:29,Programado
200,AV8837,12992,6497,2024-10-02 04:29:01,2024-10-02 11:43:01,Atrasado
201,AV3914,3994,9216,2024-06-29 13:37:20,2024-06-29 17:09:20,Cancelado
202,AV2250,14608,18810,2024-03-03 03:18:00,2024-03-03 15:43:00,Cancelado
203,AV4586,9653,9743,2023-05-12 02:15:21,2023-05-12 11:21:21,Programado
204,AV2500,4912,10610,2024-02-11 20:57:28,2024-02-12 01:55:28,Atrasado
205,AV2063,814,13780,2023-11-13 09:07:23,2023-11-13 12:56:23,Programado
206,AV2120,12464,18550,2023-02-12 16:35:33,2023-02-12 18:00:33,Atrasado
207,AV5222,19295,15201,2024-08-31 06:41:13,2024-08-31 09:11:13,Atrasado
208,AV7121,3340,7442,2025-05-04 21:52:55,2025-05-05 11:39:55,Atrasado
209,AV6232,10831,17562,2023-09-21 14:48:08,2023-09-22 05:35:08,Cancelado
210,AV5447,5487,18268,2025-05-16 07:58:03,2025-05-16 20:42:03,Concluído
211,AV3742,4711,9238,2025-05-09 07:53:30,2025-05-09 15:47:30,Cancelado
212,AV2153,18970,15721,2024-03-29 06:05:09,2024-03-29 07:45:09,Cancelado
213,AV4590,16933,14065,2022-12-04 19:30:11,2022-12-05 09:41:11,Concluído
214,AV3068,8587,10280,2025-02-23 23:17:59,2025-02-24 11:44:59,Programado
215,AV7799,19165,12236,2024-07-09 16:53:26,2024-07-09 19:46:26,Programado
216,AV6599,10193,16917,2023-10-14 19:41:03,2023-10-15 03:13:03,Cancelado
217,AV4420,11267,19444,2023-02-04 07:21:05,2023-02-04 10:47:05,Atrasado
218,AV3607,6531,10424,2024-05-12 13:49:41,2024-05-12 20:15:41,Atrasado
219,AV2008,5491,9092,2024-07-22 10:00:12,2024-07-22 18:43:12,Cancelado
220,AV2176,12020,3151,2025-01-15 14:04:38,2025-01-15 21:04:38,Cancelado
221,AV8588,18422,134,2024-06-03 21:07:45,2024-06-04 10:37:45,Atrasado
222,AV6438,10291,6713,2024-02-05 20:58:45,2024-02-06 01:48:45,Cancelado
223,AV4325,8650,1158,2024-06-06 18:36:43,2024-06-06 19:26:43,Cancelado
224,AV1608,13220,14339,2023-05-07 13:52:25,2023-05-08 02:31:25,Atrasado
225,AV9837,2316,5873,2024-10-21 11:00:36,2024-10-21 17:58:36,Concluído
226,AV5282,5602,9216,2024-08-11 20:00:27,2024-08-12 07:51:27,Concluído
227,AV4236,1138,11244,2023-10-24 01:11:58,2023-10-24 14:38:58,Concluído
228,AV6486,507,13281,2024-11-15 07:46:08,2024-11-15 09:52:08,Atrasado
229,AV3853,5188,620,2023-04-13 17:54:33,2023-04-14 04:58:33,Programado
230,AV2885,19727,10061,2024-08-28 07:26:08,2024-08-28 16:37:08,Programado
231,AV7065,12153,2445,2023-01-18 18:32:59,2023-01-19 04:33:59,Programado
232,AV3716,18932,3733,2025-07-26 19:20:43,2025-07-27 07:29:43,Cancelado
233,AV3289,12509,4305,2023-08-31 19:15:31,2023-09-01 07:58:31,Programado
234,AV5694,9914,4199,2024-12-01 00:33:26,2024-12-01 03:52:26,Cancelado
235,AV3082,7761,1873,2024-11-21 06:25:37,2024-11-21 10:30:37,Cancelado
236,AV4098,9260,16273,2024-04-19 18:03:12,2024-04-20 06:51:12,Concluído
237,AV1304,9890,6300,2024-10-20 15:28:13,2024-10-20 21:42:13,Concluído
238,AV1781,3823,1853,2024-04-18 01:16:22,2024-04-18 07:54:22,Cancelado
239,AV1585,1561,1915,2023-08-23 21:42:47,2023-08-24 00:36:47,Atrasado
240,AV5400,5039,19514,2024-03-09 09:15:00,2024-03-09 22:57:00,Atrasado
241,AV3951,70,10506,2025-06-21 17:33:05,2025-06-22 08:14:05,Concluído
242,AV3870,357,16949,2024-12-23 16:10:34,2024-12-24 05:35:34,Programado
243,AV6921,18582,2422,2024-02-13 01:43:02,2024-02-13 06:35:02,Atrasado
244,AV5730,15582,2195,2025-09-18 00:56:07,2025-09-18 08:32:07,Cancelado
245,AV7880,3544,19450,2023-04-14 04:44:40,2023-04-14 07:44:40,Atrasado
246,AV8979,2819,1696,2025-01-12 10:50:22,2025-01-12 19:41:22,Programado
247,AV5944,5725,1587,2024-03-03 17:01:58,2024-03-03 18:33:58,Atrasado
248,AV1464,12455,2727,2025-05-12 15:50:31,2025-05-13 05:15:31,Concluído
249,AV8533,4045,18338,2023-08-17 12:24:35,2023-08-17 17:56:35,Programado
250,AV8507,12731,16154,2024-07-09 01:25:46,2024-07-09 06:27:46,Programado
251,AV6376,17807,6775,2023-09-09 23:49:26,2023-09-10 04:27:26,Concluído
252,AV7703,14545,9757,2023-12-03 07:44:27,2023-12-03 18:59:27,Cancelado
253,AV3159,5321,11444,2025-10-03 08:53:27,2025-10-03 21:23:27,Concluído
254,AV8020,2166,5930,2025-04-21 04:55:20,2025-04-21 06:50:20,Cancelado
255,AV3617,3747,6248,2025-09-01 03:58:41,2025-09-01 06:17:41,Cancelado
256,AV6752,10297,372,2023-10-17 14:05:43,2023-10-18 02:40:43,Concluído
257,AV5627,61,1786,2023-02-28 17:05:35,2023-02-28 19:28:35,Concluído
258,AV3867,11313,8835,2023-12-28 14:00:36,2023-12-29 02:03:36,Cancelado
259,AV2015,346,15935,2023-08-20 20:28:50,2023-08-21 08:00:50,Cancelado
260,AV3695,9809,9114,2024-09-28 08:32:56,2024-09-28 14:06:56,Concluído
261,AV1372,7299,11286,2023-06-18 02:53:50,2023-06-18 09:55:50,Cancelado
262,AV9907,13308,16258,2025-06-18 22:58:48,2025-06-19 09:45:48,Atrasado
263,AV1743,16916,4601,2023-09-12 01:35:10,2023-09-12 09:58:10,Cancelado
264,AV1640,2755,13634,2023-09-20 02:42:36,2023-09-20 16:01:36,Atrasado
265,AV2699,11005,17171,2025-05-27 10:57:09,2025-05-27 13:27:09,Atrasado
266,AV4993,5207,3417,2023-09-27 01:07:19,2023-09-27 15:42:19,Cancelado
267,AV8357,18834,14254,2023-11-11 02:22:32,2023-11-11 08:06:32,Concluído
268,AV3013,4437,12114,2024-09-16 19:53:47,2024-09-17 00:58:47,Cancelado
269,AV8888,12307,8724,2024-01-13 16:00:59,2024-01-13 22:49:59,Atrasado
270,AV9100,1272,17632,2024-01-15 07:12:18,2024-01-15 19:41:18,Atrasado
271,AV7422,15767,15258,2024-01-14 15:25:50,2024-01-15 03:13:50,Concluído
272,AV5794,9612,5267,2023-12-18 12:40:51,2023-12-18 20:51:51,Atrasado
273,AV5472,1622,669,2025-11-13 22:36:35,2025-11-14 07:17:35,Cancelado
274,AV2703,2980,1474,2022-11-30 16:51:33,2022-12-01 03:40:33,Atrasado
275,AV5140,16574,14028,2024-10-04 06:53:17,2024-10-04 08:41:17,Concluído
276,AV6827,6475,3332,2024-03-18 17:46:31,2024-03-19 02:59:31,Atrasado
277,AV7432,13127,5343,2024-04-22 20:31:17,2024-04-22 22:35:17,Programado
278,AV3489,1284,10283,2023-01-29 07:10:33,2023-01-29 15:02:33,Cancelado
279,AV1847,14219,4937,2025-05-16 14:11:01,2025-05-16 18:44:01,Atrasado
280,AV5995,17811,723,2024-01-19 22:01:38,2024-01-20 00:27:38,Programado
281,AV4730,19580,11597,2024-11-02 04:58:24,2024-11-02 17:29:24,Concluído
282,AV5388,17124,15965,2024-04-19 06:22:38,2024-04-19 18:15:38,Concluído
283,AV1259,9574,12446,2025-08-05 23:29:05,2025-08-06 06:42:05,Cancelado
284,AV8032,14646,19447,2023-12-13 12:54:59,2023-12-13 15:08:59,Atrasado
285,AV6840,12868,7718,2023-01-29 03:48:12,2023-01-29 07:22:12,Programado
286,AV7556,858,10004,2025-08-01 11:30:57,2025-08-01 20:42:57,Atrasado
287,AV5589,3305,13898,2025-04-22 23:41:37,2025-04-23 12:31:37,Concluído
288,AV9672,15312,8787,2024-09-08 04:46:28,2024-09-08 11:10:28,Programado
289,AV5154,16405,15294,2023-09-29 10:10:45,2023-09-29 17:15:45,Cancelado
290,AV7289,14289,4761,2023-07-14 18:26:19,2023-07-15 01:05:19,Programado
291,AV1030,7512,5213,2025-07-17 09:13:44,2025-07-17 22:04:44,Concluído
292,AV3114,13902,4030,2022-12-03 11:27:28,2022-12-04 01:42:28,Atrasado
293,AV9592,15762,3487,2025-10-31 17:27:59,2025-10-31 19:02:59,Programado
294,AV5570,219,2915,2024-03-19 07:18:54,2024-03-19 14:04:54,Atrasado
295,AV1026,9444,7695,2023-06-27 10:17:55,2023-06-27 21:04:55,Programado
296,AV7880,16761,1973,2023-12-04 11:06:12,2023-12-04 20:38:12,Concluído
297,AV2854,10206,3146,2024-06-24 13:11:39,2024-06-24 22:45:39,Cancelado
298,AV8384,19850,17392,2023-11-02 14:27:28,2023-11-02 22:51:28,Programado
299,AV6021,6565,2607,2025-06-06 07:08:45,2025-06-06 08:05:45,Programado
300,AV5528,7891,9153,2025-11-24 18:11:13,2025-11-25 08:39:13,Atrasado
301,AV6789,5887,6500,2025-09-25 05:10:58,2025-09-25 07:07:58,Programado
302,AV8115,17013,12795,2023-04-01 03:48:00,2023-04-01 14:19:00,Concluído
303,AV9565,7483,10257,2024-08-31 21:43:27,2024-09-01 07:55:27,Programado
304,AV1447,18054,10277,2023-11-13 21:56:16,2023-11-14 06:04:16,Programado
305,AV4051,13785,6387,2023-09-14 00:04:43,2023-09-14 14:26:43,Cancelado
306,AV4631,6255,7774,2025-05-11 17:13:10,2025-05-12 07:20:10,Atrasado
307,AV1852,8732,18103,2024-06-20 04:46:36,2024-06-20 15:02:36,Atrasado
308,AV4875,19424,12166,2023-07-03 10:34:22,2023-07-04 01:21:22,Cancelado
309,AV8864,16343,141,2024-06-08 14:16:01,2024-06-08 15:32:01,Programado
310,AV8328,14875,18229,2023-01-27 11:06:35,2023-01-27 19:57:35,Cancelado
311,AV1394,2652,5059,2025-08-21 18:29:36,2025-08-22 06:57:36,Programado
312,AV5713,5415,10640,2025-11-16 08:19:00,2025-11-16 22:09:00,Cancelado
313,AV3041,20,2412,2023-09-13 23:02:23,2023-09-14 05:46:23,Atrasado
314,AV6173,3780,3706,2023-11-09 01:30:08,2023-11-09 12:59:08,Cancelado
