id_voo,id_funcionario,funcao_no_voo
12524,79,Comissário Chefe
3726,11,Comandante
3726,460,Comissário Chefe
13490,197,Comandante
13490,343,Comissário Chefe
13313,362,Comandante
13313,530,Comissário Chefe
7529,172,Comandante
7529,483,Comissário Chefe
11564,668,Comandante
11564,628,Comissário Chefe
5517,362,Comandante
5517,369,Comissário Chefe
1999,269,Comandante
1999,461,Comissário Chefe
12969,614,Comandante
12969,361,Comissário Chefe
16546,50,Comandante
16546,294,Comissário Chefe
9791,409,Comandante
9791,483,Comissário Chefe
878,619,Comandante
878,527,Comissário Chefe
536,659,Comandante
536,282,Comissário Chefe
11559,3,Comandante
11559,742,Comissário Chefe
13637,92,Comandante
13637,447,Comissário Chefe
5122,153,Comandante
5122,462,Comissário Chefe
1962,543,Comandante
1962,433,Comissário Chefe
9134,109,Comandante
9134,603,Comissário Chefe
6686,515,Comandante
6686,599,Comissário Chefe
9959,265,Comandante
9959,255,Comissário Chefe
3149,99,Comandante
3149,183,Comissário Chefe
6503,265,Comandante
6503,488,Comissário Chefe
16918,750,Comandante
16918,71,Comissário Chefe
8717,668,Comandante
8717,355,Comissário Chefe
8867,525,Comandante
8867,56,Comissário Chefe
14373,281,Comandante
14373,47,Comissário Chefe
3955,432,Comandante
3955,569,Comissário Chefe
4877,755,Comandante
4877,570,Comissário Chefe
17924,87,Comandante
17924,259,Comissário Chefe
8956,247,Comandante
8956,620,Comissário Chefe
12038,507,Comandante
12038,550,Comissário Chefe
1102,525,Comandante
1102,683,Comissário Chefe
13296,714,Comandante
13296,463,Comissário Chefe
9208,526,Comandante
9208,709,Comissário Chefe
13441,321,Comandante
13441,694,Comissário Chefe
12622,549,Comandante
12622,250,Comissário Chefe
10043,216,Comandante
10043,464,Comissário Chefe
4212,92,Comandante
4212,44,Comissário Chefe
16320,491,Comandante
16320,209,Comissário Chefe
13011,614,Comandante
13011,371,Comissário Chefe
4809,533,Comandante
4809,250,Comissário Chefe
377,436,Comandante
377,385,Comissário Chefe
5782,515,Comandante
5782,637,Comissário Chefe
17686,384,Comandante
17686,240,Comissário Chefe
2030,654,Comandante
2030,243,Comissário Chefe
254,491,Comandante
254,633,Comissário Chefe
13522,269,Comandante
13522,8,Comissário Chefe
11886,153,Comandante
11886,107,Comissário Chefe
4841,212,Comandante
4841,71,Comissário Chefe
2842,541,Comandante
2842,621,Comissário Chefe
11089,578,Comandante
11089,415,Comissário Chefe
8302,148,Comandante
8302,581,Comissário Chefe
15518,273,Comandante
15518,33,Comissário Chefe
9045,237,Comandante
9045,628,Comissário Chefe
12572,366,Comandante
12572,514,Comissário Chefe
11860,77,Comandante
11860,223,Comissário Chefe
3037,2,Comandante
3037,632,Comissário Chefe
13066,474,Comandante
13066,551,Comissário Chefe
13318,668,Comandante
13318,759,Comissário Chefe
16001,657,Comandante
16001,554,Comissário Chefe
16330,254,Comandante
16330,117,Comissário Chefe
4653,63,Comandante
4653,736,Comissário Chefe
12575,393,Comandante
12575,76,Comissário Chefe
10439,507,Comandante
10439,313,Comissário Chefe
14365,627,Comandante
14365,356,Comissário Chefe
8233,764,Comandante
8233,249,Comissário Chefe
7622,63,Comandante
7622,531,Comissário Chefe
2654,397,Comandante
2654,486,Comissário Chefe
13614,181,Comandante
13614,656,Comissário Chefe
8892,387,Comandante
8892,461,Comissário Chefe
16802,297,Comandante
16802,206,Comissário Chefe
2941,269,Comandante
2941,313,Comissário Chefe
6391,594,Comandante
6391,305,Comissário Chefe
15277,605,Comandante
15277,471,Comissário Chefe
7104,2,Comandante
7104,498,Comissário Chefe
5591,525,Comandante
5591,519,Comissário Chefe
8511,254,Comandante
8511,720,Comissário Chefe
16755,617,Comandante
16755,139,Comissário Chefe
10963,327,Comandante
10963,317,Comissário Chefe
1228,658,Comandante
1228,455,Comissário Chefe
275,712,Comandante
275,130,Comissário Chefe
11987,172,Comandante
11987,89,Comissário Chefe
6545,766,Comandante
6545,209,Comissário Chefe
4416,714,Comandante
4416,47,Comissário Chefe
1946,387,Comandante
1946,745,Comissário Chefe
509,247,Comandante
509,317,Comissário Chefe
5969,315,Comandante
5969,249,Comissário Chefe
1169,268,Comandante
1169,738,Comissário Chefe
16367,180,Comandante
16367,488,Comissário Chefe
1308,691,Comandante
1308,248,Comissário Chefe
2535,247,Comandante
2535,683,Comissário Chefe
17707,254,Comandante
17707,16,Comissário Chefe
17776,659,Comandante
17776,230,Comissário Chefe
2039,87,Comandante
2039,771,Comissário Chefe
1283,409,Comandante
1283,599,Comissário Chefe
4642,302,Comandante
4642,492,Comissário Chefe
4560,275,Comandante
4560,569,Comissário Chefe
8805,311,Comandante
8805,223,Comissário Chefe
7809,149,Comandante
7809,326,Comissário Chefe
1819,216,Comandante
1819,570,Comissário Chefe
2326,543,Comandante
2326,350,Comissário Chefe
351,315,Comandante
351,378,Comissário Chefe
8102,289,Comandante
8102,488,Comissário Chefe
15762,659,Comandante
15762,551,Comissário Chefe
14454,366,Comandante
14454,213,Comissário Chefe
609,13,Comandante
609,596,Comissário Chefe
3563,416,Comandante
3563,800,Comissário Chefe
7583,536,Comandante
7583,329,Comissário Chefe
16206,247,Comandante
16206,502,Comissário Chefe
8792,377,Comandante
8792,329,Comissário Chefe
3923,397,Comandante
3923,266,Comissário Chefe
17942,670,Comandante
17942,258,Comissário Chefe
7278,748,Comandante
7278,313,Comissário Chefe
9779,755,Comandante
9779,736,Comissário Chefe
95,654,Comandante
95,74,Comissário Chefe
7959,436,Comandante
7959,229,Comissário Chefe
14147,2,Comandante
14147,628,Comissário Chefe
4285,646,Comandante
4285,8,Comissário Chefe
1091,216,Comandante
1091,213,Comissário Chefe
8948,549,Comandante
8948,540,Comissário Chefe
11545,413,Comandante
11545,196,Comissário Chefe
13053,275,Comandante
13053,492,Comissário Chefe
11301,436,Comandante
11301,753,Comissário Chefe
7764,677,Comandante
7764,589,Comissário Chefe
14731,149,Comandante
14731,572,Comissário Chefe
5260,315,Comandante
5260,101,Comissário Chefe
9068,321,Comandante
9068,378,Comissário Chefe
9152,616,Comandante
9152,768,Comissário Chefe
4414,618,Comandante
4414,392,Comissário Chefe
14013,457,Comandante
14013,680,Comissário Chefe
10306,568,Comandante
10306,193,Comissário Chefe
12708,534,Comandante
12708,217,Comissário Chefe
6474,182,Comandante
6474,354,Comissário Chefe
4628,552,Comandante
4628,73,Comissário Chefe
12271,2,Comandante
12271,9,Comissário Chefe
9738,55,Comandante
9738,537,Comissário Chefe
7589,755,Comandante
7589,233,Comissário Chefe
5067,362,Comandante
5067,368,Comissário Chefe
9652,525,Comandante
9652,230,Comissário Chefe
16855,263,Comandante
16855,793,Comissário Chefe
13533,186,Comandante
13533,530,Comissário Chefe
11505,750,Comandante
11505,282,Comissário Chefe
12184,516,Comandante
12184,128,Comissário Chefe
15041,149,Comandante
15041,769,Comissário Chefe
9616,140,Comandante
9616,635,Comissário Chefe
11423,13,Comandante
11423,143,Comissário Chefe
2119,798,Comandante
2119,210,Comissário Chefe
8611,718,Comandante
8611,678,Comissário Chefe
1296,32,Comandante
1296,262,Comissário Chefe
15537,750,Comandante
15537,720,Comissário Chefe
9832,525,Comandante
9832,796,Comissário Chefe
15907,416,Comandante
15907,711,Comissário Chefe
6114,755,Comandante
6114,223,Comissário Chefe
1254,6,Comandante
1254,800,Comissário Chefe
13408,677,Comandante
13408,183,Comissário Chefe
12830,302,Comandante
12830,154,Comissário Chefe
13431,614,Comandante
13431,294,Comissário Chefe
8221,84,Comandante
8221,697,Comissário Chefe
17563,610,Comandante
17563,576,Comissário Chefe
1620,472,Comandante
1620,492,Comissário Chefe
4469,247,Comandante
4469,89,Comissário Chefe
1425,254,Comandante
1425,463,Comissário Chefe
7048,387,Comandante
7048,433,Comissário Chefe
11934,163,Comandante
11934,363,Comissário Chefe
11786,311,Comandante
11786,391,Comissário Chefe
9848,786,Comandante
9848,544,Comissário Chefe
4035,743,Comandante
4035,527,Comissário Chefe
5032,55,Comandante
5032,411,Comissário Chefe
8897,580,Comandante
8897,248,Comissário Chefe
9256,536,Comandante
9256,738,Comissário Chefe
8271,232,Comandante
8271,530,Comissário Chefe
137,32,Comandante
137,314,Comissário Chefe
13822,377,Comandante
